id,mine_id,date,shift,planned_qty_tonnes,actual_qty_tonnes,shortfall_tonnes,ore_grade_percent,waste_tonnes,stripping_ratio,blasting_done,blasting_delay_hours
1,1,2024-01-01,morning,797.7,820.0,0,41.98,5608.9,6.84,True,0.0
2,1,2024-01-01,afternoon,531.8,546.7,0,41.98,3739.3,6.84,True,0.0
3,1,2024-01-02,morning,776.5,816.4,0,41.31,4114.8,5.04,False,0.0
4,1,2024-01-02,afternoon,517.7,544.3,0,41.31,2743.2,5.04,False,0.0
5,1,2024-01-03,morning,794.7,826.7,0,41.88,6200.1,7.5,True,0.0
6,1,2024-01-03,afternoon,529.8,551.1,0,41.88,4133.4,7.5,True,0.0
7,1,2024-01-04,morning,768.4,797.4,0,41.15,4130.5,5.18,True,0.0
8,1,2024-01-04,afternoon,512.2,531.6,0,41.15,2753.7,5.18,True,0.0
9,1,2024-01-05,morning,798.5,837.7,0,38.22,4657.7,5.56,True,0.0
10,1,2024-01-05,afternoon,532.4,558.5,0,38.22,3105.1,5.56,True,0.0
11,1,2024-01-06,morning,777.8,754.0,23.8,39.49,4267.4,5.66,True,0.0
12,1,2024-01-06,afternoon,518.5,502.6,15.9,39.49,2844.9,5.66,True,0.0
13,1,2024-01-07,morning,783.7,207.3,576.4,40.29,1529.9,7.38,True,1.5
14,1,2024-01-07,afternoon,522.5,138.2,384.3,40.29,1019.9,7.38,True,0.0
15,1,2024-01-08,morning,779.6,796.6,0,41.98,3799.9,4.77,False,0.0
16,1,2024-01-08,afternoon,519.8,531.1,0,41.98,2533.3,4.77,False,0.0
17,1,2024-01-09,morning,813.7,839.9,0,43.54,4527.0,5.39,True,0.0
18,1,2024-01-09,afternoon,542.4,559.9,0,43.54,3018.0,5.39,True,0.0
19,1,2024-01-10,morning,799.3,813.3,0,43.26,4131.6,5.08,True,0.0
20,1,2024-01-10,afternoon,532.9,542.2,0,43.26,2754.4,5.08,True,0.0
21,1,2024-01-11,morning,799.4,779.8,19.7,42.28,4717.5,6.05,False,0.0
22,1,2024-01-11,afternoon,533.0,519.8,13.1,42.28,3145.0,6.05,False,0.0
23,1,2024-01-12,morning,820.4,803.9,16.4,40.86,6182.3,7.69,True,0.0
24,1,2024-01-12,afternoon,546.9,536.0,11.0,40.86,4121.5,7.69,True,0.0
25,1,2024-01-13,morning,817.6,745.7,71.8,39.91,3713.8,4.98,True,4.8
26,1,2024-01-13,afternoon,545.0,497.2,47.9,39.91,2475.9,4.98,True,0.0
27,1,2024-01-14,morning,775.7,197.4,578.3,40.24,1243.6,6.3,True,0.0
28,1,2024-01-14,afternoon,517.2,131.6,385.6,40.24,829.1,6.3,True,0.0
29,1,2024-01-15,morning,801.4,843.1,0,43.64,5623.6,6.67,True,0.0
30,1,2024-01-15,afternoon,534.2,562.1,0,43.64,3749.1,6.67,True,0.0
31,1,2024-01-16,morning,785.8,760.9,25.0,40.36,3241.3,4.26,False,0.0
32,1,2024-01-16,afternoon,523.9,507.2,16.6,40.36,2160.8,4.26,False,0.0
33,1,2024-01-17,morning,819.5,737.6,82.0,43.49,3569.9,4.84,True,3.6
34,1,2024-01-17,afternoon,546.4,491.7,54.6,43.49,2379.9,4.84,True,0.0
35,1,2024-01-18,morning,795.5,847.5,0,40.09,5568.1,6.57,True,0.0
36,1,2024-01-18,afternoon,530.4,565.0,0,40.09,3712.1,6.57,True,0.0
37,1,2024-01-19,morning,796.0,850.3,0,40.67,6445.4,7.58,False,0.0
38,1,2024-01-19,afternoon,530.7,566.9,0,40.67,4297.0,7.58,False,0.0
39,1,2024-01-20,morning,817.3,825.9,0,39.78,6260.3,7.58,True,0.0
40,1,2024-01-20,afternoon,544.9,550.6,0,39.78,4173.5,7.58,True,0.0
41,1,2024-01-21,morning,810.6,181.5,629.1,39.82,1308.6,7.21,True,4.7
42,1,2024-01-21,afternoon,540.4,121.0,419.4,39.82,872.4,7.21,True,0.0
43,1,2024-01-22,morning,810.4,802.7,7.7,40.63,5097.4,6.35,True,0.0
44,1,2024-01-22,afternoon,540.3,535.2,5.1,40.63,3398.3,6.35,True,0.0
45,1,2024-01-23,morning,778.2,797.8,0,43.69,5489.0,6.88,False,0.0
46,1,2024-01-23,afternoon,518.8,531.9,0,43.69,3659.3,6.88,False,0.0
